cz,NAICS4,year,emp
10700,3399,2011,1458
10801,3111,2011,10
10801,3115,2011,60
10801,3116,2011,955
10801,3117,2011,350
10801,3118,2011,395
10801,3119,2011,10
10801,3121,2011,10
10801,3132,2011,60
10801,3141,2011,385
10801,3149,2011,20
10801,3152,2011,375
10801,3211,2011,1084
10801,3212,2011,60
10801,3219,2011,515
10801,3221,2011,750
10801,3222,2011,130
10801,3231,2011,181
10801,3241,2011,758
10801,3251,2011,140
10801,3252,2011,175
10801,3253,2011,60
10801,3254,2011,10
10801,3259,2011,10
10801,3261,2011,1830
10801,3262,2011,1770
10801,3271,2011,60
10801,3272,2011,350
10801,3273,2011,298
10801,3279,2011,20
10801,3311,2011,375
10801,3312,2011,175
10801,3314,2011,60
10801,3315,2011,60
10801,3322,2011,10
10801,3323,2011,224
10801,3324,2011,185
10801,3325,2011,375
10801,3327,2011,210
10801,3329,2011,80
10801,3331,2011,375
10801,3332,2011,30
10801,3335,2011,20
10801,3339,2011,80
10801,3344,2011,10
10801,3345,2011,20
10801,3346,2011,375
10801,3353,2011,10
10801,3359,2011,10
10801,3361,2011,3750
10801,3363,2011,1489
10801,3369,2011,10
10801,3371,2011,60
10801,3372,2011,60
10801,3391,2011,30
10801,3399,2011,160
10802,3111,2011,60
10802,3116,2011,385
10802,3117,2011,60
10802,3121,2011,10
10802,3211,2011,80
10802,3212,2011,60
10802,3219,2011,305
10802,3221,2011,2500
10802,3222,2011,470
10802,3241,2011,60
10802,3251,2011,20
10802,3252,2011,10
10802,3273,2011,80
10802,3315,2011,10
10802,3323,2011,10
10802,3327,2011,10
10802,3371,2011,10
10900,3116,2011,80
10900,3118,2011,44
10900,3121,2011,20
10900,3131,2011,10
10900,3132,2011,80
10900,3133,2011,70
10900,3141,2011,20
10900,3149,2011,81
10900,3152,2011,40
10900,3211,2011,50
10900,3212,2011,130
10900,3219,2011,70
10900,3221,2011,375
10900,3222,2011,70
10900,3231,2011,262
10900,3241,2011,20
10900,3251,2011,20
10900,3252,2011,820
10900,3254,2011,120
10900,3255,2011,10
10900,3256,2011,10
10900,3259,2011,10
10900,3261,2011,160
10900,3262,2011,10
10900,3271,2011,10
10900,3273,2011,238
10900,3279,2011,415
10900,3314,2011,10
10900,3322,2011,10
10900,3323,2011,378
10900,3324,2011,20
10900,3325,2011,60
10900,3326,2011,70
10900,3327,2011,130
10900,3328,2011,40
10900,3329,2011,40
10900,3331,2011,10
10900,3332,2011,30
10900,3333,2011,10
10900,3335,2011,40
10900,3336,2011,60
10900,3339,2011,245
10900,3341,2011,30
10900,3342,2011,10
10900,3344,2011,20
10900,3345,2011,910
10900,3359,2011,235
10900,3362,2011,30
10900,3363,2011,245
10900,3364,2011,2005
10900,3365,2011,10
10900,3366,2011,100
10900,3369,2011,10
10900,3371,2011,208
10900,3372,2011,48
10900,3391,2011,146
10900,3399,2011,180
1100,3111,2011,51
1100,3112,2011,350
1100,3114,2011,750
1100,3115,2011,10
1100,3116,2011,195
1100,3118,2011,245
1100,3119,2011,70
1100,3121,2011,50
1100,3131,2011,273
1100,3132,2011,1749
1100,3133,2011,360
1100,3141,2011,571
1100,3149,2011,418
1100,3151,2011,1034
1100,3152,2011,40
1100,3159,2011,120
1100,3161,2011,195
1100,3169,2011,90
1100,3211,2011,222
1100,3212,2011,236
1100,3219,2011,1099
1100,3221,2011,60
1100,3222,2011,2070
1100,3231,2011,867
1100,3241,2011,20
1100,3251,2011,20
1100,3252,2011,130
1100,3254,2011,610
1100,3255,2011,250
1100,3256,2011,190
1100,3259,2011,80
1100,3261,2011,4274
1100,3262,2011,427
1100,3271,2011,70
1100,3272,2011,1048
1100,3273,2011,250
1100,3279,2011,423
1100,3311,2011,60
1100,3312,2011,305
1100,3314,2011,1120
1100,3315,2011,10
1100,3321,2011,295
1100,3322,2011,70
1100,3323,2011,508
1100,3324,2011,10
1100,3325,2011,60
1100,3326,2011,245
1100,3327,2011,354
1100,3328,2011,40
1100,3329,2011,620
1100,3331,2011,130
1100,3332,2011,595
1100,3333,2011,60
1100,3334,2011,150
1100,3335,2011,315
1100,3336,2011,60
1100,3339,2011,600
1100,3342,2011,195
1100,3343,2011,10
1100,3344,2011,185
1100,3345,2011,70
1100,3346,2011,10
1100,3351,2011,175
1100,3353,2011,445
1100,3359,2011,1215
1100,3362,2011,10
1100,3363,2011,2395
1100,3364,2011,20
1100,3369,2011,90
1100,3371,2011,13607
1100,3372,2011,1249
1100,3391,2011,674
1100,3399,2011,332
11001,3111,2011,10
11001,3113,2011,80
11001,3115,2011,10
11001,3116,2011,50
11001,3117,2011,467
11001,3118,2011,516
11001,3119,2011,90
11001,3121,2011,205
11001,3131,2011,60
11001,3141,2011,770
11001,3149,2011,115
11001,3152,2011,20
11001,3169,2011,10
11001,3211,2011,915
11001,3212,2011,540
11001,3219,2011,732
11001,3221,2011,2050
11001,3222,2011,355
11001,3231,2011,311
11001,3241,2011,246
11001,3251,2011,2662
11001,3252,2011,350
11001,3253,2011,185
11001,3254,2011,10
11001,3255,2011,420
11001,3256,2011,20
11001,3259,2011,255
11001,3261,2011,720
11001,3262,2011,70
11001,3271,2011,10
11001,3272,2011,10
11001,3273,2011,510
11001,3274,2011,10
11001,3279,2011,100
11001,3311,2011,375
11001,3312,2011,2125
11001,3313,2011,185
11001,3314,2011,10
11001,3322,2011,10
11001,3323,2011,1069
11001,3324,2011,264
11001,3325,2011,60
11001,3327,2011,425
11001,3328,2011,90
11001,3329,2011,275
11001,3331,2011,235
11001,3332,2011,60
11001,3333,2011,80
11001,3334,2011,350
11001,3335,2011,90
11001,3336,2011,185
11001,3339,2011,355
11001,3341,2011,175
11001,3342,2011,70
11001,3344,2011,235
11001,3345,2011,20
11001,3351,2011,10
11001,3353,2011,10
11001,3359,2011,10
11001,3363,2011,255
11001,3364,2011,3260
11001,3366,2011,3148
11001,3371,2011,1057
11001,3372,2011,60
11001,3379,2011,30
11001,3391,2011,265
11001,3399,2011,101
11002,3116,2011,185
11002,3118,2011,10
11002,3121,2011,10
11002,3132,2011,70
11002,3141,2011,70
11002,3159,2011,10
11002,3211,2011,627
11002,3212,2011,120
11002,3219,2011,40
11002,3221,2011,750
11002,3231,2011,40
11002,3241,2011,10
11002,3251,2011,70
11002,3253,2011,10
11002,3261,2011,120
11002,3262,2011,10
11002,3273,2011,255
11002,3315,2011,175
11002,3323,2011,10
11002,3324,2011,10
11002,3327,2011,96
11002,3334,2011,60
11002,3336,2011,60
11002,3362,2011,20
11002,3369,2011,60
11002,3371,2011,10
11002,3379,2011,10
11002,3391,2011,10
11002,3399,2011,130
11101,3111,2011,70
11101,3116,2011,1820
11101,3118,2011,255
11101,3119,2011,185
11101,3121,2011,195
11101,3131,2011,235
11101,3133,2011,10
11101,3141,2011,195
11101,3149,2011,80
11101,3152,2011,185
11101,3159,2011,60
11101,3212,2011,515
11101,3219,2011,290
11101,3221,2011,375
11101,3222,2011,350
11101,3231,2011,415
11101,3241,2011,60
11101,3251,2011,10
11101,3252,2011,385
11101,3255,2011,10
11101,3259,2011,435
11101,3261,2011,2300
11101,3262,2011,60
11101,3271,2011,120
11101,3273,2011,120
11101,3311,2011,10
11101,3312,2011,175
11101,3313,2011,175
11101,3314,2011,175
11101,3315,2011,10
11101,3321,2011,80
11101,3322,2011,20
11101,3323,2011,1098
11101,3324,2011,60
11101,3325,2011,375
11101,3327,2011,40
11101,3328,2011,40
11101,3329,2011,190
11101,3331,2011,80
11101,3332,2011,10
11101,3333,2011,60
11101,3334,2011,60
11101,3335,2011,80
11101,3339,2011,150
11101,3341,2011,175
11101,3342,2011,30
11101,3344,2011,70
11101,3345,2011,385
11101,3351,2011,60
11101,3352,2011,750
11101,3353,2011,80
11101,3359,2011,70
11101,3361,2011,3750
11101,3362,2011,10
11101,3363,2011,2051
11101,3364,2011,750
11101,3365,2011,175
11101,3369,2011,10
11101,3371,2011,189
11101,3372,2011,385
11101,3379,2011,10
11101,3391,2011,418
11101,3399,2011,195
11102,3111,2011,60
11102,3112,2011,60
11102,3113,2011,10
11102,3116,2011,20
11102,3118,2011,100
11102,3119,2011,235
11102,3132,2011,60
11102,3152,2011,375
11102,3212,2011,120
11102,3219,2011,70
11102,3222,2011,120
11102,3231,2011,67
11102,3252,2011,2185
11102,3254,2011,10
11102,3255,2011,20
11102,3256,2011,10
11102,3261,2011,410
11102,3262,2011,10
11102,3272,2011,10
11102,3273,2011,30
11102,3279,2011,20
11102,3311,2011,10
11102,3314,2011,375
11102,3323,2011,10
11102,3327,2011,20
11102,3329,2011,10
11102,3331,2011,10
11102,3332,2011,60
11102,3334,2011,60
11102,3344,2011,60
11102,3362,2011,70
11102,3363,2011,1360
11102,3364,2011,20
11102,3369,2011,10
11102,3371,2011,35
11102,3399,2011,60
11201,3113,2011,10
11201,3116,2011,10
11201,3118,2011,375
11201,3121,2011,580
11201,3141,2011,350
11201,3149,2011,80
11201,3152,2011,120
11201,3211,2011,244
11201,3219,2011,60
11201,3231,2011,100
11201,3255,2011,10
11201,3256,2011,10
11201,3259,2011,60
11201,3261,2011,245
11201,3262,2011,455
11201,3273,2011,196
11201,3279,2011,60
11201,3311,2011,60
11201,3314,2011,10
11201,3315,2011,60
11201,3322,2011,60
11201,3323,2011,200
11201,3326,2011,10
11201,3327,2011,785
11201,3328,2011,80
11201,3329,2011,245
11201,3331,2011,663
11201,3332,2011,60
11201,3335,2011,20
11201,3339,2011,200
11201,3342,2011,60
11201,3344,2011,175
11201,3345,2011,60
11201,3353,2011,805
11201,3362,2011,80
11201,3363,2011,375
11201,3369,2011,10
11201,3371,2011,20
11201,3391,2011,30
11201,3399,2011,100
11202,3149,2011,10
11202,3219,2011,60
11202,3231,2011,10
11202,3273,2011,10
11202,3274,2011,10
11202,3327,2011,60
11202,3331,2011,32
11202,3372,2011,10
11202,3399,2011,10
11203,3112,2011,10
11203,3121,2011,175
11203,3149,2011,10
11203,3211,2011,152
11203,3219,2011,450
11203,3231,2011,30
11203,3241,2011,20
