CZ;naics;emp
11001;6211;64
11001;6212;32
11001;6213;133
11001;6214;31
11001;6216;127
11001;6241;58
11001;6244;47
11001;7139;9
11001;7211;54
11001;7225;671
11001;8111;56
11001;8121;8
11001;8122;15
11001;8123;5
11001;8131;171
11001;8139;20
9500;1133;61
9500;2371;17
9500;2382;21
9500;4413;9
9500;4441;13
9500;4461;40
9500;4471;54
9500;4523;41
9500;4841;31
9500;4842;15
9500;5173;7
9500;5221;62
9500;5242;18
9500;5311;4
9500;5411;16
9500;5617;17
9500;6211;57
9500;6244;31
9500;7225;126
9500;8111;19
9500;8131;73
9600;1133;27
9600;2381;5
9600;2382;9
9600;2389;6
9600;4249;29
9600;4411;85
9600;4413;22
9600;4441;45
9600;4451;64
9600;4471;55
9600;4523;36
9600;4841;9
9600;4842;14
9600;5221;49
9600;5311;6
9600;5411;6
9600;5617;3
9600;6244;27
9600;7225;169
9600;8111;37
9600;8131;56
10302;1133;20
10302;2361;56
10302;2362;44
10302;2371;19
10302;2381;31
10302;2382;182
10302;2383;11
10302;2389;26
10302;4231;20
10302;4238;117
10302;4244;154
10302;4249;46
10302;4251;7
10302;4411;459
10302;4413;105
10302;4421;60
10302;4422;20
10302;4431;59
10302;4441;277
10302;4442;47
10302;4451;271
10302;4461;153
10302;4471;218
10302;4481;224
10302;4483;12
10302;4511;35
10302;4523;520
10302;4532;24
10302;4533;9
10302;4539;50
10302;4541;42
10302;4543;10
10302;4841;4
10302;4842;56
10302;5111;27
10302;5173;59
10302;5221;183
10302;5222;81
10302;5223;7
10302;5239;18
10302;5241;102
10302;5242;56
10302;5311;46
10302;5312;29
10302;5313;58
10302;5321;14
10302;5411;90
10302;5412;155
10302;5413;428
10302;5415;5
10302;5416;4
10302;5419;48
10302;5613;195
10302;5617;138
10302;6115;42
10302;6116;16
10302;6211;254
10302;6212;109
10302;6213;98
10302;6214;51
10302;6216;178
10302;6232;115
10302;6233;92
10302;6241;54
10302;6244;137
10302;7139;91
10302;7211;102
10302;7212;7
10302;7224;27
10302;7225;1679
10302;8111;119
10302;8121;77
10302;8122;31
10302;8123;11
10302;8129;25
10302;8131;404
10302;8139;21
6200;2123;90
6200;2361;56
6200;2362;192
6200;2371;22
6200;2373;55
6200;2379;632
6200;2381;111
6200;2382;657
6200;2383;173
6200;2389;60
6200;4231;78
6200;4233;31
6200;4234;4
6200;4235;29
6200;4237;22
6200;4238;149
6200;4239;72
6200;4244;90
6200;4246;64
6200;4247;26
6200;4249;53
6200;4251;4
6200;4411;423
6200;4413;144
6200;4421;15
6200;4422;11
6200;4431;66
6200;4441;290
6200;4442;75
6200;4451;355
6200;4452;13
6200;4453;30
6200;4461;269
6200;4471;312
6200;4481;101
6200;4482;26
6200;4511;17
6200;4523;440
6200;4531;18
6200;4539;25
6200;4541;19
6200;4543;66
6200;4841;223
6200;4842;82
6200;4921;199
6200;5173;110
6200;5221;474
6200;5222;63
6200;5223;7
6200;5239;13
6200;5241;15
6200;5242;87
6200;5311;43
6200;5312;9
6200;5313;16
6200;5321;16
6200;5322;14
6200;5411;60
6200;5412;84
6200;5413;41
6200;5415;29
6200;5419;102
6200;5511;30
6200;5611;22
6200;5613;654
6200;5614;627
6200;5616;1760
6200;5617;185
6200;5621;21
6200;5622;12
6200;6211;474
6200;6212;196
6200;6213;148
6200;6214;35
6200;6216;216
6200;6219;134
6200;6231;233
6200;6233;104
6200;6241;103
6200;6244;73
6200;7139;133
6200;7211;88
6200;7224;6
6200;7225;1948
6200;8111;124
6200;8113;102
6200;8121;87
6200;8122;44
6200;8129;6
6200;8131;462
6200;8134;13
6200;8139;107
11002;1133;161
11002;4239;26
11002;4451;75
11002;4471;157
11002;4523;39
11002;4841;158
11002;4842;16
11002;5221;30
11002;5311;5
11002;5411;9
11002;5617;13
11002;6211;37
11002;6216;162
11002;6244;14
11002;7211;16
11002;7225;243
11002;8111;23
11002;8131;23
9500;1133;32
9500;2382;43
9500;2389;3
9500;4471;21
9500;4523;13
9500;4841;7
9500;5221;8
9500;5311;5
9500;5413;27
9500;5617;2
9500;8111;5
9500;8131;21
11102;1133;38
11102;1153;9
11102;2211;441
11102;2361;38
11102;2362;60
11102;2371;120
11102;2373;83
11102;2381;22
11102;2382;66
11102;2383;9
11102;2389;34
11102;4231;34
11102;4238;61
11102;4239;42
11102;4244;12
11102;4249;296
11102;4251;5
11102;4411;139
11102;4413;89
11102;4421;42
11102;4441;115
11102;4442;41
11102;4451;216
11102;4453;9
11102;4461;149
11102;4471;304
11102;4481;65
11102;4511;13
11102;4523;425
11102;4531;13
11102;4532;18
11102;4539;5
11102;4543;15
11102;4841;297
11102;4842;44
11102;4884;7
11102;4921;25
11102;5151;9
11102;5173;54
11102;5221;221
11102;5222;47
11102;5223;7
11102;5241;13
11102;5242;46
11102;5311;26
11102;5312;8
11102;5313;26
11102;5322;12
11102;5411;39
11102;5412;48
11102;5413;106
11102;5416;28
11102;5419;155
11102;5611;133
11102;5617;61
11102;5621;13
11102;6211;212
11102;6212;71
11102;6213;72
11102;6216;104
11102;6231;459
11102;6241;104
11102;6244;59
11102;7139;93
11102;7211;62
11102;7225;849
11102;8111;86
11102;8113;5
11102;8121;19
11102;8122;19
11102;8123;112
11102;8131;221
11102;8133;29
11102;1133;146
11102;2381;32
11102;2382;48
11102;4239;78
11102;4413;10
11102;4441;18
11102;4461;33
11102;4471;51
11102;4523;45
11102;4841;7
11102;4842;122
11102;5173;4
11102;5221;73
11102;5242;11
11102;5411;6
11102;5617;4
11102;7225;174
11102;8111;18
11102;8131;54
10700;1133;31
10700;1152;51
10700;2213;32
10700;2361;57
10700;2362;131
10700;2371;84
10700;2381;201
10700;2382;252
10700;2383;103
10700;2389;273
10700;4231;204
10700;4233;23
10700;4234;11
10700;4236;49
10700;4237;500
10700;4238;103
10700;4239;54
10700;4244;90
10700;4247;108
10700;4249;55
10700;4251;73
10700;4411;370
10700;4412;34
10700;4413;172
10700;4421;73
10700;4422;17
10700;4431;24
10700;4441;349
10700;4442;92
10700;4451;655
10700;4452;17
10700;4453;30
10700;4461;329
10700;4471;362
10700;4481;156
10700;4482;51
10700;4483;25
10700;4511;96
10700;4512;17
10700;4523;894
10700;4531;19
10700;4532;43
10700;4533;45
10700;4539;72
10700;4541;29
10700;4542;2
10700;4543;30
10700;4841;391
10700;4842;386
10700;4884;17
10700;4885;33
10700;4931;952
10700;5121;50
10700;5173;120
10700;5221;503
10700;5222;132
10700;5223;11
10700;5231;8
10700;5239;17
10700;5241;27
10700;5242;82
10700;5311;46
10700;5312;24
10700;5313;14
10700;5321;10
10700;5322;56
10700;5411;86
10700;5412;132
10700;5413;29
10700;5415;34
10700;5416;23
10700;5418;23
10700;5419;100
10700;5511;463
10700;5611;23
10700;5613;523
10700;5616;9
10700;5617;255
10700;5629;47
10700;6116;26
10700;6211;723
10700;6212;216
10700;6213;250
10700;6214;53
10700;6215;48
10700;6216;338
10700;6231;547
10700;6232;136
10700;6233;220
10700;6239;32
10700;6241;196
10700;6242;18
10700;6244;122
10700;7131;9
10700;7139;142
10700;7211;205
