CZ;naics;emp
35100;3121;25
35100;3219;13
35100;3273;29
35401;3118;9
35401;3121;190
35401;3219;32
35401;3231;207
35401;3241;13
35401;3261;501
35401;3271;3
35401;3273;126
35401;3279;66
35401;3315;28
35401;3323;71
35401;3327;355
35401;3329;506
35401;3333;96
35401;3371;69
35401;3391;46
35401;3399;138
38100;3118;39
38100;3119;1324
38100;3219;27
38100;3231;21
38100;3273;38
38100;3279;59
38100;3323;123
38100;3327;17
38100;3328;28
38100;3391;33
4301;3112;1244
4101;3219;106
4101;3222;192
4101;3273;10
4101;3327;26
25101;3231;20
25101;3327;10
25101;3366;335
25101;3399;133
30300;3116;3469
30300;3118;1953
30300;3119;122
30300;3121;128
30300;3149;541
30300;3219;172
30300;3231;190
30300;3241;34
30300;3261;1631
30300;3273;64
30300;3279;33
30300;3323;305
30300;3327;177
30300;3329;69
30300;3335;230
30300;3339;160
30300;3359;286
30300;3371;565
30300;3372;16
30300;3391;84
30300;3399;43
25103;3219;263
25103;3231;7
25103;3261;68
25103;3273;17
25103;3315;475
25103;3327;20
25103;3391;9
4102;3211;251
4102;3219;286
25103;3116;2428
25103;3323;5
34001;3211;894
34001;3399;12
25900;3327;29
25104;3231;3
25104;3273;20
25104;3391;237
4001;3211;185
4001;3261;102
4001;3323;111
4001;3364;429
25900;3112;560
25900;3118;22
25900;3231;129
25900;3273;194
25900;3323;29
25900;3327;149
25900;3332;322
25900;3351;76
25900;3371;22
25900;3391;27
30100;3116;3169
30100;3231;122
30100;3323;149
30100;3327;35
30100;3344;24
30100;3399;71
5300;3121;76
5300;3261;70
5300;3273;85
4103;3211;241
4102;3211;219
4102;3219;157
4200;3222;965
4200;3231;64
4200;3261;76
4200;3273;68
4200;3323;54
4200;3327;138
4200;3328;72
4200;3329;17
4200;3335;76
4200;3371;542
4200;3391;6
4200;3399;19
30000;3121;48
34001;3118;42
34001;3121;175
34001;3219;48
34001;3231;27
34001;3261;706
34001;3273;52
34001;3279;72
34001;3323;155
34001;3327;21
34001;3332;242
34001;3335;58
34001;3364;588
34001;3371;45
34001;3391;13
34001;3399;15
4200;3211;234
25900;3231;21
25900;3261;805
25900;3323;18
25900;3327;80
25900;3365;826
25900;3399;18
34001;3231;11
34001;3323;274
34001;3212;230
34001;3219;112
34001;3271;198
34001;3327;36
25105;3111;145
25105;3116;2596
25105;3211;44
25105;3219;61
25105;3327;61
4302;3323;29
4102;3219;163
4102;3222;337
4102;3231;20
4102;3273;26
4102;3323;17
4102;3327;9
30000;3116;1093
30000;3323;28
30000;3327;68
30000;3399;5
33500;3219;63
30000;3327;15
30000;3363;527
4200;3231;11
4200;3323;247
4200;3327;29
30300;3211;41
30300;3219;58
33500;3118;82
33500;3399;21
25800;3273;44
25800;3311;2625
25800;3312;480
25800;3323;149
25800;3327;138
25800;3329;299
25103;3211;21
4103;3211;390
4103;3259;406
4103;3364;1441
5300;3211;18
34001;3211;264
34001;3219;38
25900;3112;101
25900;3222;129
30000;3116;902
30000;3231;17
30000;3273;30
30000;3327;105
30000;3329;183
30000;3332;201
30000;3391;152
4200;3118;138
4200;3119;208
4200;3121;74
4200;3141;10
4200;3149;56
4200;3152;104
4200;3219;81
4200;3231;1110
4200;3241;389
4200;3254;39
4200;3255;148
4200;3256;521
4200;3261;864
4200;3262;109
4200;3273;248
4200;3279;61
4200;3323;1008
4200;3327;68
4200;3329;829
4200;3331;908
4200;3333;54
4200;3334;255
4200;3335;49
4200;3339;174
4200;3345;132
4200;3359;597
4200;3363;27
4200;3364;1389
4200;3371;165
4200;3372;27
4200;3391;96
4200;3399;282
25900;3219;48
25900;3327;30
5300;3273;18
4200;3219;33
4200;3231;36
4200;3273;21
4200;3323;101
4200;3327;93
4200;3366;80
4200;3371;41
4200;3391;17
30100;3211;23
25103;3211;39
30100;3116;3083
30100;3118;5
30100;3219;36
30100;3222;1130
30100;3231;406
30100;3261;298
30100;3273;61
30100;3279;33
30100;3321;20
30100;3323;77
30100;3327;462
30100;3328;102
30100;3334;990
30100;3335;16
30100;3339;71
30100;3353;1737
30100;3363;71
30100;3371;84
30100;3391;81
30100;3399;192
25105;3399;10
25104;3211;26
4103;3211;535
4103;3219;166
4103;3241;744
4103;3251;608
4103;3327;37
30300;3111;188
30300;3114;535
30300;3116;4309
30300;3118;981
30300;3119;82
30300;3121;85
30300;3149;23
30300;3212;129
30300;3219;648
30300;3231;379
30300;3254;24
30300;3256;492
30300;3273;89
30300;3323;759
30300;3327;125
30300;3328;97
30300;3329;229
30300;3335;30
30300;3339;285
30300;3344;400
30300;3362;21
30300;3363;558
30300;3371;53
30300;3372;18
30300;3391;398
30300;3399;104
4302;3219;76
4302;3315;176
4302;3323;58
4302;3327;33
4302;3329;196
4302;3399;14
30000;3116;1280
30000;3327;163
37800;3111;216
37800;3112;231
37800;3113;1755
37800;3114;913
37800;3115;470
37800;3116;815
37800;3118;3321
37800;3119;1090
37800;3121;2899
37800;3133;15
37800;3149;68
37800;3152;264
37800;3159;53
37800;3169;18
37800;3212;30
37800;3219;491
37800;3222;937
37800;3231;1870
37800;3241;325
37800;3251;83
37800;3253;11
37800;3254;3622
37800;3255;345
37800;3256;385
37800;3259;452
37800;3261;2168
37800;3262;639
37800;3271;145
37800;3272;712
37800;3273;774
37800;3279;170
37800;3314;108
37800;3315;863
37800;3321;249
37800;3322;60
37800;3323;2245
37800;3324;40
37800;3326;124
37800;3327;3784
37800;3328;784
37800;3329;539
37800;3332;4009
37800;3333;658
37800;3334;257
37800;3335;667
37800;3336;86
37800;3339;604
37800;3341;951
37800;3342;547
37800;3343;273
37800;3344;5799
37800;3345;4475
37800;3346;58
37800;3351;962
37800;3353;794
37800;3359;293
37800;3361;23307
37800;3362;191
37800;3363;161
37800;3366;400
37800;3369;33
37800;3371;301
37800;3372;949
37800;3379;58
37800;3391;4940
37800;3399;850
37400;3121;312
37400;3327;11
37300;3112;515
37300;3114;433
37300;3118;21
37300;3119;118
37300;3121;1144
37300;3149;25
37300;3219;269
37300;3231;86
37300;3261;187
37300;3272;14
37300;3273;35
37300;3323;19
37300;3327;123
37300;3328;22
37300;3329;6
37300;3331;272
37300;3344;44
37300;3371;70
37300;3391;78
37300;3399;162
37400;3121;117
37400;3231;14
37400;3327;98
37300;3112;336
37800;3112;188
37800;3113;917
37800;3114;53
37800;3115;89
37800;3118;905
37800;3119;559
37800;3121;176
37800;3149;58
37800;3152;22
37800;3219;123
37800;3231;573
37800;3241;3731
37800;3251;712
37800;3254;155
37800;3255;153
37800;3256;143
37800;3259;569
37800;3261;49
37800;3273;263
37800;3279;74
37800;3315;37
37800;3323;452
