cz,NAICS4,year,emp
13700,3362,2019,41110
13700,3363,2019,5113
13700,3366,2019,2110
13700,3369,2019,20
13700,3371,2019,3930
13700,3372,2019,1342
13700,3379,2019,144
13700,3391,2019,21
13700,3399,2019,815
13800,3111,2019,85
13800,3149,2019,98
13800,3219,2019,69
13800,3231,2019,942
13800,3261,2019,135
13800,3273,2019,17
13800,3313,2019,237
13800,3323,2019,169
13800,3327,2019,158
13800,3328,2019,682
13800,3331,2019,338
13800,3366,2019,219
13800,3371,2019,478
13800,3391,2019,5447
13800,3399,2019,63
13900,3219,2019,14
13900,3231,2019,47
13900,3261,2019,310
13900,3326,2019,227
13900,3327,2019,145
13900,3363,2019,6697
1400,3116,2019,6256
1400,3118,2019,20
1400,3121,2019,46
1400,3132,2019,200
1400,3141,2019,127
1400,3149,2019,74
1400,3151,2019,102
1400,3211,2019,600
1400,3219,2019,177
1400,3231,2019,128
1400,3252,2019,348
1400,3261,2019,395
1400,3271,2019,14
1400,3273,2019,117
1400,3323,2019,142
1400,3327,2019,91
1400,3371,2019,48
1400,3391,2019,21
1400,3399,2019,30
14000,3118,2019,104
14000,3222,2019,189
14000,3231,2019,476
14000,3261,2019,90
14000,3327,2019,520
14000,3328,2019,127
14000,3332,2019,10
14000,3335,2019,282
14000,3344,2019,1
14000,3363,2019,997
14000,3371,2019,27
14100,3118,2019,234
14100,3121,2019,50
14100,3141,2019,82
14100,3219,2019,185
14100,3222,2019,869
14100,3231,2019,916
14100,3255,2019,54
14100,3261,2019,2545
14100,3273,2019,219
14100,3279,2019,31
14100,3312,2019,1100
14100,3313,2019,154
14100,3314,2019,314
14100,3321,2019,377
14100,3323,2019,1128
14100,3326,2019,186
14100,3327,2019,2246
14100,3328,2019,750
14100,3329,2019,286
14100,3331,2019,475
14100,3333,2019,123
14100,3334,2019,385
14100,3335,2019,1070
14100,3339,2019,97
14100,3345,2019,1233
14100,3353,2019,236
14100,3359,2019,119
14100,3362,2019,215
14100,3363,2019,1549
14100,3369,2019,45
14100,3371,2019,727
14100,3372,2019,40
14100,3391,2019,84
14100,3399,2019,960
14200,3112,2019,131
14200,3113,2019,59
14200,3118,2019,1055
14200,3119,2019,65
14200,3121,2019,1670
14200,3141,2019,23
14200,3149,2019,156
14200,3152,2019,61
14200,3169,2019,51
14200,3211,2019,153
14200,3212,2019,440
14200,3219,2019,351
14200,3222,2019,864
14200,3231,2019,4962
14200,3241,2019,360
14200,3251,2019,165
14200,3254,2019,4531
14200,3255,2019,139
14200,3256,2019,236
