CZ;naics;emp
10802;3371;10
10600;3111;10
10600;3152;60
10600;3211;10
10600;3212;60
10600;3219;909
10600;3222;10
10600;3231;10
10600;3261;60
10600;3262;375
10600;3273;10
10600;3323;10
10600;3329;175
10600;3339;375
10600;3345;10
10600;3363;10
10600;3371;124
10600;3372;10
10600;3391;10
10600;3399;10
6100;3111;230
6100;3112;60
6100;3113;10
6100;3116;5585
6100;3118;10
6100;3119;10
6100;3133;10
6100;3211;175
6100;3212;10
6100;3219;175
6100;3222;175
6100;3231;99
6100;3251;10
6100;3256;10
6100;3261;377
6100;3262;32
6100;3273;77
6100;3314;60
6100;3323;60
6100;3324;175
6100;3327;302
6100;3328;10
6100;3329;616
6100;3331;10
6100;3332;10
6100;3333;60
6100;3335;157
6100;3339;175
6100;3344;175
6100;3359;10
6100;3362;60
6100;3363;921
6100;3365;175
6100;3371;60
6100;3391;175
6100;3399;131
11001;3111;10
11001;3113;60
11001;3115;10
11001;3116;10
11001;3117;294
11001;3118;353
11001;3119;60
11001;3121;175
11001;3141;750
11001;3149;10
11001;3152;10
11001;3211;175
11001;3212;60
11001;3219;475
11001;3221;750
11001;3222;60
11001;3231;188
11001;3241;175
11001;3251;1385
11001;3252;358
11001;3253;175
11001;3254;10
11001;3255;175
11001;3256;10
11001;3259;60
11001;3261;750
11001;3262;60
11001;3271;10
11001;3272;10
11001;3273;375
11001;3274;10
11001;3279;26
11001;3311;375
11001;3312;1750
11001;3314;10
11001;3323;642
11001;3324;284
11001;3325;60
11001;3327;309
11001;3328;60
11001;3329;175
11001;3331;175
11001;3332;60
11001;3333;10
11001;3334;175
11001;3335;60
11001;3336;175
11001;3339;60
11001;3341;175
11001;3342;60
11001;3344;175
11001;3351;10
11001;3353;10
11001;3359;10
11001;3363;175
11001;3364;1750
11001;3366;3138
11001;3371;115
11001;3372;60
11001;3379;19
11001;3391;60
11001;3399;42
11002;3116;10
11002;3121;10
11002;3211;192
11002;3212;175
11002;3219;10
11002;3221;375
11002;3231;10
11002;3251;10
11002;3262;10
11002;3273;175
11101;3111;60
11101;3116;1750
11101;3118;302
11101;3119;175
11101;3121;175
11101;3141;10
11101;3149;10
11101;3212;60
11101;3219;90
11101;3222;375
11101;3231;323
11101;3252;10
11101;3255;10
11101;3259;60
11101;3261;1066
11101;3262;60
11101;3271;60
11101;3273;81
11101;3311;10
11101;3313;175
11101;3314;175
11101;3315;10
11101;3321;10
11101;3322;60
11101;3323;799
11101;3325;375
11101;3327;10
11101;3328;60
11101;3329;60
11101;3331;10
11101;3332;10
11101;3333;60
11101;3334;60
11101;3335;60
11101;3339;123
11101;3341;175
11101;3342;60
11101;3344;10
11101;3351;60
11101;3352;750
11101;3353;60
11101;3359;60
11101;3361;3750
11101;3362;10
11101;3363;878
11101;3365;175
11101;3369;10
11101;3371;158
11101;3372;10
11101;3379;10
11101;3391;375
11101;3399;60
6000;3111;293
6000;3112;175
6000;3113;10
6000;3115;60
6000;3116;1750
6000;3118;10
6000;3121;10
6000;3141;10
6000;3149;175
6000;3211;60
6000;3212;175
6000;3219;294
6000;3222;175
6000;3231;131
6000;3251;652
6000;3252;750
6000;3259;10
6000;3261;175
6000;3262;60
6000;3272;10
6000;3273;60
6000;3274;10
6000;3279;10
6000;3311;750
6000;3312;60
6000;3313;60
6000;3314;10
6000;3321;60
6000;3323;309
6000;3324;175
6000;3327;310
6000;3328;10
6000;3329;171
6000;3331;60
6000;3332;60
6000;3334;375
6000;3335;50
6000;3339;168
6000;3341;750
6000;3342;10
6000;3344;52
6000;3352;1750
6000;3359;375
6000;3362;60
6000;3363;60
6000;3364;750
6000;3371;60
6000;3391;49
6000;3399;287
10801;3111;10
10801;3115;60
10801;3117;175
10801;3222;60
10801;3315;60
10801;3323;10
10801;3327;10
10501;3116;10
10501;3211;209
10501;3219;217
10501;3231;10
10501;3259;60
10501;3315;60
10501;3323;10
10501;3371;10
11102;3111;60
11102;3112;60
11102;3113;10
11102;3116;10
11102;3118;10
11102;3119;175
11102;3212;60
11102;3219;60
11102;3231;7
11102;3252;375
11102;3255;10
11102;3256;10
11102;3261;375
11102;3272;10
11102;3273;10
11102;3279;10
11102;3311;10
11102;3314;375
11102;3327;10
11102;3344;60
11102;3362;10
11102;3363;60
11102;3369;10
9600;3131;175
9600;3132;375
9600;3211;10
9600;3219;10
9600;3251;10
9600;3259;10
9600;3261;94
9600;3262;10
9600;3273;10
9600;3323;175
9600;3327;10
9600;3344;10
9600;3359;60
9600;3371;60
9600;3399;10
9701;3116;750
9701;3132;375
9701;3149;10
9701;3159;10
9701;3161;10
9701;3211;375
9701;3212;10
9701;3221;750
9701;3231;10
9701;3251;60
9701;3256;175
9701;3271;60
9701;3273;60
9701;3279;175
9701;3315;10
9701;3323;60
9701;3327;10
9701;3329;10
9701;3339;60
9701;3353;10
9701;3361;10
9701;3362;175
9701;3371;10
9701;3399;60
10700;3116;175
10700;3118;10
10700;3149;60
10700;3212;10
10700;3219;10
10700;3222;10
10700;3231;60
10700;3241;60
10700;3253;10
10700;3255;175
10700;3261;175
10700;3271;175
10700;3273;175
10700;3312;60
10700;3313;60
10700;3315;10
10700;3322;10
10700;3323;335
10700;3324;60
10700;3327;10
10700;3328;60
10700;3329;175
10700;3331;60
10700;3332;60
10700;3333;10
10700;3335;10
10700;3339;60
10700;3344;10
10700;3359;10
10700;3362;60
10700;3363;750
10700;3371;60
10700;3372;60
10700;3391;10
10700;3118;164
10700;3119;175
10700;3121;60
10700;3141;10
10700;3149;10
10700;3211;60
10700;3219;140
10700;3231;251
10700;3241;10
10700;3252;10
10700;3254;175
10700;3255;10
10700;3261;60
10700;3262;10
10700;3272;10
10700;3273;327
10700;3274;420
10700;3279;60
10700;3312;60
10700;3315;375
10700;3321;60
10700;3323;337
10700;3324;10
10700;3326;10
10700;3327;381
10700;3328;60
10700;3329;87
10700;3331;10
10700;3332;60
10700;3333;60
10700;3334;60
10700;3336;10
10700;3339;750
10700;3341;10
10700;3342;10
10700;3345;60
10700;3353;60
10700;3359;375
10700;3363;175
10700;3371;175
10700;3372;60
10700;3379;10
10700;3391;60
10700;3399;175
10802;3116;10
10802;3211;10
10802;3222;175
9500;3111;60
9500;3115;175
9500;3132;175
9500;3133;60
9500;3149;10
9500;3219;60
9500;3221;375
9500;3231;10
9500;3241;60
9500;3251;10
9500;3253;375
9500;3259;60
9500;3261;60
9500;3262;60
9500;3272;10
9500;3273;10
9500;3279;10
9500;3315;717
9500;3323;118
9500;3324;10
9500;3327;371
9500;3328;375
9500;3329;60
9500;3331;10
9500;3335;60
9500;3336;10
9500;3339;289
9500;3345;175
9500;3361;3750
9500;3363;175
9500;3366;10
9500;3371;375
9500;3391;60
9500;3399;10
9500;3114;10
9500;3131;175
9500;3141;10
9500;3152;10
9500;3219;60
9500;3231;375
9500;3261;10
9500;3273;10
9500;3323;60
9500;3327;60
9500;3329;10
9500;3332;10
9500;3363;750
9500;3371;175
9500;3399;60
10801;3116;750
10801;3118;375
10801;3132;60
