"cz","L_manuf_t0","L_manuf_t1","d_ln_L","IPW","period","sample"
"27101",7523,6164,-0.199239077120215,23.6452503311296,"1999-2011","manuf"
"27102",3542,3615,0.0204003162500861,9.38290620867775,"1999-2011","manuf"
"27201",6646,7224,0.083393646182282,23.1465968184132,"1999-2011","manuf"
"27202",5469,6517,0.175318362985609,8.32473954246559,"1999-2011","manuf"
"27301",6061,4940,-0.204509471769317,14.4510509181294,"1999-2011","manuf"
"27302",4682,4304,-0.084180546209236,19.6891231945133,"1999-2011","manuf"
"27401",4994,5388,0.0759370666905372,5.00705958913826,"1999-2011","manuf"
"27402",9299,6703,-0.327351680120239,23.247287677513,"1999-2011","manuf"
"27501",31430,24318,-0.256546033935251,10.3100770925639,"1999-2011","manuf"
"27502",2880,3135,0.0848388799370294,11.8480773724845,"1999-2011","manuf"
"27503",1865,1717,-0.0826824711804397,14.2718407050129,"1999-2011","manuf"
"27504",4286,4647,0.080867953051456,7.60815089361362,"1999-2011","manuf"
"27601",6864,3749,-0.604801224431885,18.6284266876287,"1999-2011","manuf"
"27602",20,30,0.405465108108165,1.26610979651378,"1999-2011","manuf"
"27603",235,100,-0.854415328156067,2.63848769645686,"1999-2011","manuf"
"27701",2131,1663,-0.247968152905689,9.32964488344236,"1999-2011","manuf"
"27702",2687,2469,-0.0846121192703118,20.6581231164377,"1999-2011","manuf"
"27703",485,465,-0.0421114853501274,9.07557833425044,"1999-2011","manuf"
"27704",50,60,0.182321556793954,6.54169046398353,"1999-2011","manuf"
"27801",5163,4797,-0.0735270833775861,11.3504501595136,"1999-2011","manuf"
"27802",8493,8482,-0.00129602374547311,10.7237680527622,"1999-2011","manuf"
"27901",4699,2991,-0.451741940472868,8.67967959208574,"1999-2011","manuf"
"27902",1563,1139,-0.316456366974295,14.3025951732509,"1999-2011","manuf"
"27903",8181,9271,0.125076856093283,9.19936339728311,"1999-2011","manuf"
"2800",13596,9365,-0.372796295937817,15.4270633152909,"1999-2011","manuf"
"28001",26004,16147,-0.476516098442739,78.1383330020843,"1999-2011","manuf"
"28002",1645,781,-0.744920513359786,5.27243501769614,"1999-2011","manuf"
"28101",24513,18227,-0.296299577827885,12.8300996164233,"1999-2011","manuf"
"28102",2570,3445,0.293018005558493,11.6692634515459,"1999-2011","manuf"
"28201",5593,3033,-0.611963587133006,11.5064551264166,"1999-2011","manuf"
"28202",42494,34608,-0.205278020282744,13.9524223885462,"1999-2011","manuf"
"28301",800,860,0.0723206615796261,9.81132825605001,"1999-2011","manuf"
"28302",525,525,0,22.2460647988957,"1999-2011","manuf"
"28304",90,90,0,10.2423617519542,"1999-2011","manuf"
"28305",525,555,0.0555698511548108,12.9326312274265,"1999-2011","manuf"
"28306",428,430,0.00466201310581127,7.27726578534446,"1999-2011","manuf"
"28401",24415,12122,-0.70017571398453,42.7034840066518,"1999-2011","manuf"
"28402",70,20,-1.25276296849537,0.354045029681014,"1999-2011","manuf"
"28501",80,20,-1.38629436111989,2.21702242151418,"1999-2011","manuf"
"28502",6057,5904,-0.0255845407006383,9.15511633223767,"1999-2011","manuf"
"28503",230,158,-0.375484275896229,16.6373548448583,"1999-2011","manuf"
"28504",130,150,0.143100843640673,5.0874701089793,"1999-2011","manuf"
"28601",90,60,-0.405465108108165,6.24465709213146,"1999-2011","manuf"
"28602",265,255,-0.0384662808277962,8.75678142394093,"1999-2011","manuf"
"28603",700,375,-0.624154309072994,3.84944721449268,"1999-2011","manuf"
"28604",220,370,0.519875459285908,12.8538220434222,"1999-2011","manuf"
"28605",100,90,-0.105360515657827,9.47065225167213,"1999-2011","manuf"
"28606",30,70,0.847297860387204,6.7729672660791,"1999-2011","manuf"
"28607",657,565,-0.150858287338169,15.9143329919406,"1999-2011","manuf"
"28608",5031,4329,-0.150282203049338,7.52562543302049,"1999-2011","manuf"
"28609",6665,5582,-0.177322818516542,7.09420307533724,"1999-2011","manuf"
"28701",340,270,-0.230523658611832,9.02149154381087,"1999-2011","manuf"
